"Date(UTC)","OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status"
"2025-07-31 11:27:01","1398401538","DOGEUSDC","Stop-Market","BUY","0","317DOGE","2025-07-31 11:30:37","317DOGE","0.22271","70.59907USDC","FILLED"
"2025-07-31 11:27:01","1096482961","ADAUSDC","Stop-Market","BUY","0","102ADA","2025-07-31 11:30:03","0ADA","0","0USDC","CANCELED"
"2025-07-31 11:24:02","1096480071","ADAUSDC","Stop-Market","BUY","0","79ADA","2025-07-31 11:27:02","0ADA","0","0USDC","CANCELED"
"2025-07-31 11:24:01","1398395431","DOGEUSDC","Stop-Market","BUY","0","255DOGE","2025-07-31 11:27:02","0DOGE","0","0USDC","CANCELED"
"2025-07-31 11:21:01","1096477609","ADAUSDC","Stop-Market","BUY","0","72.6ADA","2025-07-31 11:24:03","0ADA","0","0USDC","CANCELED"
"2025-07-31 11:18:02","1398383659","DOGEUSDC","Stop-Market","BUY","0","191DOGE","2025-07-31 11:24:02","0DOGE","0","0USDC","CANCELED"
"2025-07-31 11:18:01","1096473863","ADAUSDC","Stop-Market","BUY","0","41.3ADA","2025-07-31 11:21:02","0ADA","0","0USDC","CANCELED"
"2025-07-31 11:15:02","1398378675","DOGEUSDC","Stop-Market","BUY","0","164DOGE","2025-07-31 11:18:02","0DOGE","0","0USDC","CANCELED"
"2025-07-31 11:02:01","2277907719","SOLUSDC","Stop-Market","BUY","0","0.029SOL","2025-07-31 11:02:22","0.029SOL","181.51","5.26379USDC","FILLED"
"2025-07-31 11:01:01","2277906379","SOLUSDC","Stop-Market","BUY","0","0.029SOL","2025-07-31 11:01:11","0.029SOL","181.43","5.26147USDC","FILLED"
"2025-07-31 11:00:06","2277905227","SOLUSDC","Stop-Market","BUY","0","0.253SOL","2025-07-31 11:00:08","0.253SOL","181.43","45.90179USDC","FILLED"
"2025-07-31 10:59:02","2277904184","SOLUSDC","Stop-Market","BUY","0","0.228SOL","2025-07-31 11:00:06","0SOL","0","0USDC","CANCELED"
"2025-07-31 10:58:02","2277902223","SOLUSDC","Stop-Market","BUY","0","0.177SOL","2025-07-31 10:59:02","0SOL","0","0USDC","CANCELED"
"2025-07-31 10:57:03","2277900299","SOLUSDC","Stop-Market","BUY","0","0.144SOL","2025-07-31 10:58:02","0SOL","0","0USDC","CANCELED"
"2025-07-31 10:33:01","1096431747","ADAUSDC","Stop-Market","BUY","0","52ADA","2025-07-31 10:33:53","52ADA","0.7844","40.7888USDC","FILLED"
"2025-07-31 10:31:01","1398316921","DOGEUSDC","Stop-Market","BUY","0","36DOGE","2025-07-31 10:31:12","36DOGE","0.22416583","8.06997USDC","FILLED"
"2025-07-31 10:30:03","1398316223","DOGEUSDC","Stop-Market","BUY","0","183DOGE","2025-07-31 10:31:39","183DOGE","0.22430727","41.04823USDC","FILLED"
"2025-07-31 10:30:01","1096429567","ADAUSDC","Stop-Market","BUY","0","35.3ADA","2025-07-31 10:33:02","0ADA","0","0USDC","CANCELED"
"2025-07-31 10:27:00","1398313523","DOGEUSDC","Stop-Market","BUY","0","156DOGE","2025-07-31 10:28:03","0DOGE","0","0USDC","CANCELED"
"2025-07-31 10:16:01","2277846334","SOLUSDC","Stop-Market","BUY","0","0.029SOL","2025-07-31 10:27:01","0SOL","0","0USDC","CANCELED"
"2025-07-31 10:16:00","1398302842","DOGEUSDC","Stop-Market","BUY","0","22DOGE","2025-07-31 10:17:00","0DOGE","0","0USDC","CANCELED"
"2025-07-31 10:15:04","2277845123","SOLUSDC","Stop-Market","BUY","0","0.029SOL","2025-07-31 10:16:02","0SOL","0","0USDC","CANCELED"
"2025-07-31 10:15:02","1398302038","DOGEUSDC","Stop-Market","BUY","0","22DOGE","2025-07-31 10:15:43","22DOGE","0.22460318","4.94127USDC","FILLED"
"2025-07-31 10:15:01","1096420586","ADAUSDC","Stop-Market","BUY","0","6.6ADA","2025-07-31 10:15:34","6.6ADA","0.785","5.181USDC","FILLED"
"2025-07-31 10:13:02","1096419510","ADAUSDC","Stop-Market","BUY","0","47.1ADA","2025-07-31 10:13:19","47.1ADA","0.7848","36.96408USDC","FILLED"
"2025-07-31 10:13:01","1398300367","DOGEUSDC","Stop-Market","BUY","0","69DOGE","2025-07-31 10:13:16","69DOGE","0.22446783","15.48828USDC","FILLED"
"2025-07-31 10:13:01","2277843361","SOLUSDC","Stop-Market","BUY","0","0.085SOL","2025-07-31 10:13:25","0.085SOL","182.24","15.4904USDC","FILLED"
"2025-07-31 10:12:02","2277841787","SOLUSDC","Stop-Market","BUY","0","0.083SOL","2025-07-31 10:13:02","0SOL","0","0USDC","CANCELED"
"2025-07-31 10:12:01","1096418714","ADAUSDC","Stop-Market","BUY","0","24.6ADA","2025-07-31 10:13:02","0ADA","0","0USDC","CANCELED"
"2025-07-31 10:12:00","1398299532","DOGEUSDC","Stop-Market","BUY","0","6DOGE","2025-07-31 10:13:02","0DOGE","0","0USDC","CANCELED"
"2025-07-31 10:11:01","1096418108","ADAUSDC","Stop-Market","BUY","0","24.7ADA","2025-07-31 10:12:02","0ADA","0","0USDC","CANCELED"
"2025-07-31 10:10:00","1096417212","ADAUSDC","Stop-Market","BUY","0","19.5ADA","2025-07-31 10:11:02","0ADA","0","0USDC","CANCELED"
"2025-07-31 10:08:01","1398295875","DOGEUSDC","Stop-Market","BUY","0","125DOGE","2025-07-31 10:09:07","125DOGE","0.22474","28.0925USDC","FILLED"
"2025-07-31 10:07:00","1398294642","DOGEUSDC","Stop-Market","BUY","0","100DOGE","2025-07-31 10:08:02","0DOGE","0","0USDC","CANCELED"
"2025-07-31 10:05:02","1398292901","DOGEUSDC","Stop-Market","SELL","0","14DOGE","2025-07-31 10:07:27","14DOGE","0.22462","3.14468USDC","FILLED"
"2025-07-31 10:00:07","1398286471","DOGEUSDC","Stop-Market","SELL","0","530DOGE","2025-07-31 10:07:37","530DOGE","0.22451","118.9903USDC","FILLED"
"2025-07-31 10:00:07","1398286467","DOGEUSDC","Stop-Market","SELL","0","530DOGE","2025-07-31 10:23:13","530DOGE","0.22416","118.8048USDC","FILLED"
"2025-07-31 10:00:03","1096407574","ADAUSDC","Stop-Market","SELL","0","94.7ADA","2025-07-31 10:12:02","94.7ADA","0.7845","74.29215USDC","FILLED"
"2025-07-31 09:55:02","1398281038","DOGEUSDC","Stop-Market","SELL","0","5DOGE","2025-07-31 09:56:01","0DOGE","0","0USDC","CANCELED"
"2025-07-31 09:42:02","1398266362","DOGEUSDC","Stop-Market","SELL","0","26DOGE","2025-07-31 09:43:20","26DOGE","0.22466538","5.8413USDC","FILLED"
"2025-07-31 09:38:00","1096387976","ADAUSDC","Stop-Market","BUY","0","11.5ADA","2025-07-31 09:38:11","11.5ADA","0.7862","9.0413USDC","FILLED"
"2025-07-31 09:30:05","1398254989","DOGEUSDC","Stop-Market","SELL","0","556DOGE","2025-07-31 10:00:07","0DOGE","0","0USDC","CANCELED"
"2025-07-31 09:06:01","1096367102","ADAUSDC","Stop-Market","BUY","0","34.6ADA","2025-07-31 09:06:11","34.6ADA","0.7855","27.1783USDC","FILLED"
"2025-07-31 09:05:01","1096366521","ADAUSDC","Stop-Market","BUY","0","27.6ADA","2025-07-31 09:06:02","0ADA","0","0USDC","CANCELED"
"2025-07-31 09:04:02","1096366092","ADAUSDC","Stop-Market","BUY","0","23.7ADA","2025-07-31 09:05:02","0ADA","0","0USDC","CANCELED"
"2025-07-31 09:03:01","1096365322","ADAUSDC","Stop-Market","BUY","0","17.3ADA","2025-07-31 09:04:02","0ADA","0","0USDC","CANCELED"
"2025-07-31 09:02:01","1096363954","ADAUSDC","Stop-Market","BUY","0","9ADA","2025-07-31 09:03:02","0ADA","0","0USDC","CANCELED"
"2025-07-31 09:00:06","1398223846","DOGEUSDC","Stop-Market","SELL","0","453DOGE","2025-07-31 10:00:07","0DOGE","0","0USDC","CANCELED"
"2025-07-31 09:00:05","1398223835","DOGEUSDC","Stop-Market","SELL","0","17DOGE","2025-07-31 09:01:50","17DOGE","0.22443","3.81531USDC","FILLED"
"2025-07-31 09:00:05","1398223839","DOGEUSDC","Stop-Market","SELL","0","573DOGE","2025-07-31 09:30:05","0DOGE","0","0USDC","CANCELED"
"2025-07-31 08:59:03","1096361622","ADAUSDC","Stop-Market","BUY","0","12.8ADA","2025-07-31 08:59:25","12.8ADA","0.787","10.0736USDC","FILLED"
"2025-07-31 07:09:01","1096270185","ADAUSDC","Stop-Market","BUY","0","33.2ADA","2025-07-31 07:09:18","33.2ADA","0.781","25.9292USDC","FILLED"
"2025-07-31 07:08:00","2277605697","SOLUSDC","Stop-Market","BUY","0","0.029SOL","2025-07-31 07:08:03","0.029SOL","181.02","5.24958USDC","FILLED"
"2025-07-31 07:06:02","2277603395","SOLUSDC","Stop-Market","BUY","0","0.138SOL","2025-07-31 07:06:03","0.138SOL","180.99","24.97662USDC","FILLED"
"2025-07-31 06:20:00","1096226425","ADAUSDC","Stop-Market","BUY","0","43.6ADA","2025-07-31 06:22:01","43.6ADA","0.7801","34.01236USDC","FILLED"
"2025-07-31 06:13:00","1398032969","DOGEUSDC","Stop-Market","BUY","0","53DOGE","2025-07-31 06:14:00","0DOGE","0","0USDC","CANCELED"
"2025-07-31 06:12:01","1096219702","ADAUSDC","Stop-Market","BUY","0","17.9ADA","2025-07-31 06:12:17","17.9ADA","0.78","13.962USDC","FILLED"
"2025-07-31 04:30:02","1397927049","DOGEUSDC","Stop-Market","BUY","0","182DOGE","2025-07-31 04:30:10","182DOGE","0.22233","40.46406USDC","FILLED"
"2025-07-31 04:27:02","1397924464","DOGEUSDC","Stop-Market","BUY","0","109DOGE","2025-07-31 04:30:03","0DOGE","0","0USDC","CANCELED"
"2025-07-31 04:24:01","1397922366","DOGEUSDC","Stop-Market","BUY","0","110DOGE","2025-07-31 04:27:02","0DOGE","0","0USDC","CANCELED"
"2025-07-31 04:21:01","1397919528","DOGEUSDC","Stop-Market","BUY","0","120DOGE","2025-07-31 04:22:11","120DOGE","0.22249875","26.69985USDC","FILLED"
"2025-07-31 04:07:01","2277363169","SOLUSDC","Stop-Market","BUY","0","0.081SOL","2025-07-31 04:07:10","0.081SOL","180.15","14.59215USDC","FILLED"
"2025-07-31 04:06:03","2277362422","SOLUSDC","Stop-Market","BUY","0","0.081SOL","2025-07-31 04:07:02","0SOL","0","0USDC","CANCELED"
"2025-07-31 04:05:03","2277361698","SOLUSDC","Stop-Market","BUY","0","0.07SOL","2025-07-31 04:06:03","0SOL","0","0USDC","CANCELED"
"2025-07-31 04:03:02","1397902848","DOGEUSDC","Stop-Market","BUY","0","23DOGE","2025-07-31 04:04:00","0DOGE","0","0USDC","CANCELED"
"2025-07-31 04:02:00","1397901851","DOGEUSDC","Stop-Market","BUY","0","89DOGE","2025-07-31 04:03:02","0DOGE","0","0USDC","CANCELED"
"2025-07-31 01:27:01","1397679806","DOGEUSDC","Stop-Market","BUY","0","135DOGE","2025-07-31 01:28:34","135DOGE","0.22161926","29.9186USDC","FILLED"
